Année	Budget Total	Nombre de Projets	Budget Moyen par Projet	Durée en mois Moyenne des Projets
2006	582368170.0	1579	378899.2648015615	35.77415056628914
2007	551626061.0	1420	420446.69283536583	36.99140625
2008	625335062.0	1318	500668.5844675741	38.35531496062992
2009	577608595.0	1315	490746.46983857267	
2010	608007627.0	1361	455777.8313343328	38.67710843373494
2011	535750866.0	1286	429287.5528846154	38.91440329218107
2012	531746052.0	1282	423702.03346613544	38.829482071713144
2013	417273452.0	1084	405513.5587949465	41.865949119373774
2014	392975243.0	1077	403465.34188911703	50.77777777777778
2015	361794575.0	927	390285.4099244876	39.31391585760518
2016	0.0	801		
